study_hours,attendance,previous_marks,assignments_completed,pass_status
1.0,45,32,1,Fail
1.5,50,38,2,Fail
2.0,55,42,2,Fail
2.5,58,45,3,Fail
1.0,62,48,2,Fail
3.0,60,46,3,Fail
2.0,65,50,3,Fail
3.5,64,52,4,Fail
2.5,70,55,4,Fail
4.0,68,54,4,Fail
3.0,72,58,5,Fail
4.5,70,57,5,Fail
3.5,75,60,5,Pass
5.0,72,59,6,Pass
4.0,78,63,6,Pass
5.5,76,65,6,Pass
4.5,80,68,7,Pass
6.0,78,66,7,Pass
5.0,82,70,7,Pass
6.5,80,72,8,Pass
5.5,85,74,8,Pass
7.0,83,73,8,Pass
6.0,88,76,9,Pass
7.5,86,78,9,Pass
6.5,90,80,9,Pass
8.0,88,82,10,Pass
7.0,92,84,10,Pass
8.5,90,85,10,Pass
7.5,94,86,9,Pass
9.0,92,88,10,Pass
8.0,95,90,10,Pass
9.5,94,91,10,Pass
1.5,55,40,1,Fail
2.5,63,49,3,Fail
3.5,67,53,4,Fail
4.5,74,61,5,Pass
5.5,79,69,6,Pass
6.5,84,75,8,Pass
7.5,89,81,9,Pass
8.5,93,87,10,Pass
